destination,name,category,cost_twd,description
東京,淺草寺,文化,0,參觀寺院與周邊老街
東京,上野公園,自然,0,公園散步與博物館區
東京,東京塔,地標,1200,城市觀景
東京,築地場外市場,美食,800,品嚐在地小吃
京都,伏見稻荷大社,文化,0,步行千本鳥居
京都,嵐山竹林,自然,0,山林散步
京都,清水寺,文化,400,傳統寺院參觀
京都,錦市場,美食,700,品嚐京都小吃
台北,故宮博物院,文化,350,參觀典藏文物
台北,象山步道,自然,0,眺望台北市景
台北,台北101觀景台,地標,600,高樓觀景
台北,寧夏夜市,美食,500,品嚐夜市小吃
首爾,景福宮,文化,100,參觀宮殿
首爾,南山首爾塔,地標,550,城市觀景
首爾,北村韓屋村,文化,0,傳統街區散步
首爾,廣藏市場,美食,600,品嚐市場料理
台中,審計新村,文化,0,參觀文創聚落與老建築
台中,高美濕地,自然,0,欣賞濕地與落日景色
台中,國家歌劇院,地標,300,參觀建築與表演空間
台中,逢甲夜市,美食,500,品嚐台中夜市小吃
高雄,駁二藝術特區,文化,0,漫步倉庫藝術聚落
高雄,旗津海岸,自然,0,搭渡輪遊海岸與燈塔
高雄,高雄流行音樂中心,地標,0,欣賞港灣建築與夜景
高雄,六合夜市,美食,500,品嚐海產與在地小吃
大阪,大阪城,文化,300,參觀天守閣與城公園
大阪,箕面公園,自然,0,步行森林步道與瀑布
大阪,梅田藍天大廈,地標,450,欣賞空中庭園城市景觀
大阪,黑門市場,美食,900,品嚐海鮮與大阪小吃
札幌,北海道開拓村,文化,250,參觀歷史建築與展示
札幌,藻岩山,自然,600,搭纜車欣賞札幌夜景
札幌,札幌電視塔,地標,300,從觀景台眺望大通公園
札幌,二條市場,美食,900,品嚐北海道海鮮料理
釜山,甘川文化村,文化,0,漫步彩色山城與藝術巷弄
釜山,太宗台,自然,0,欣賞海崖與海岸風景
釜山,釜山塔,地標,350,俯瞰釜山港與城市景觀
釜山,札嘎其市場,美食,700,品嚐黑輪與在地小吃
新加坡,新加坡國家博物館,文化,350,了解城市歷史與多元文化
新加坡,濱海灣花園,自然,650,參觀花穹與雲霧林
新加坡,魚尾獅公園,地標,0,欣賞濱海灣與城市地標
新加坡,麥士威熟食中心,美食,700,品嚐海南雞飯與在地料理
